Region,Waterbody Key,Original Name,Zone,Management Units,Note,Similar 1,Score 1,Type 1,Similar 2,Score 2,Type 2
REGION 1 - Vancouver Island,bear river,BEAR RIVER,1,1-10,,Clear River,0.86,stream,Heber River,0.86,stream
REGION 1 - Vancouver Island,link river,“LINK” RIVER,1,1-13,IGNORE: Listed as 'Marble (Link) River' in gazzetteer,Elk River,0.84,stream,Leiner River,0.82,stream
REGION 1 - Vancouver Island,pete’s pond unnamed lake at the head of san juan river,“PETE’S POND” Unnamed lake at the head of San Juan River,1,1-3,,,,,,,
REGION 1 - Vancouver Island,stowell lake,“STOWELL LAKE” (Lake Stowell),1,1-1,,Stella Lake,0.87,lake,Tugwell Lake,0.83,lake
REGION 1 - Vancouver Island,strathcona park waters,STRATHCONA PARK WATERS,1,1-9,,,,,,,
REGION 1 - Vancouver Island,weston lake,“WESTON LAKE”,1,1-1,,Beston Lake,0.91,lake,Wheaton Lake,0.87,lake
REGION 2 - Lower Mainland,errock lake,“ERROCK” (“Squakum”) LAKE,2,2-8,,Peacock Lake,0.78,lake,Percy Lake,0.76,lake
REGION 2 - Lower Mainland,hatzic lake and slough,HATZIC LAKE AND SLOUGH,2,2-8,,Hatzic Slough,0.74,stream,Katzie Slough,0.69,stream
REGION 2 - Lower Mainland,jones lake,“JONES” LAKE,2,2-3,,Joe Lake,0.89,lake,Joan Lake,0.84,lake
REGION 2 - Lower Mainland,little campbell river,LITTLE CAMPBELL RIVER,2,2-4,,Campbell River,0.80,stream,Little Toba River,0.74,stream
REGION 2 - Lower Mainland,little stawamus creek,LITTLE STAWAMUS CREEK,2,2-8,,Little Tamihi Creek,0.80,stream,Little Muddy Creek,0.77,stream
REGION 2 - Lower Mainland,lonzo creek,LONZO (“Marshall”) CREEK,2,2-4,,Loon Creek,0.86,stream,Don Creek,0.80,stream
REGION 2 - Lower Mainland,lucille lake,LUCILLE LAKE,2,2-9,,Louie Lake,0.82,lake,Lillooet Lake,0.80,lake
REGION 2 - Lower Mainland,mckay creek,MCKAY CREEK,2,2-8,,Mackay Creek,0.96,stream,McKenny Creek,0.83,stream
REGION 2 - Lower Mainland,minnekhada marsh,MINNEKHADA MARSH,2,2-8,,,,,,,
REGION 2 - Lower Mainland,paq lake,“PAQ” LAKE,2,2-5,,Page Lake,0.82,lake,Alpha Lake,0.78,lake
REGION 2 - Lower Mainland,sardis park pond,SARDIS PARK POND,2,2-4,,Sardis Pond,0.81,lake,jerry sulina park pond,0.63,point
REGION 2 - Lower Mainland,south alouette river,SOUTH ALOUETTE RIVER,2,2-8,,North Alouette River,0.90,stream,Alouette River,0.82,stream
REGION 2 - Lower Mainland,squamish powerhouse channel,SQUAMISH POWERHOUSE CHANNEL,2,2-6,,Sapperton Channel,0.64,stream,,,
REGION 2 - Lower Mainland,sweltzer creek,SWELTZER CREEK,2,2-3,,Settler Creek,0.81,stream,Saltery Creek,0.81,stream
REGION 2 - Lower Mainland,weaver lake and weaver creek,WEAVER LAKE and WEAVER CREEK,2,2-19,,,,,,,
REGION 3 - Thompson-Nicola,clanwilliam lake,CLANWILLIAM LAKE,3,3-34,,Willis Lake,0.74,lake,Will Lake,0.72,lake
REGION 3 - Thompson-Nicola,deep lake,DEEP LAKE,3,3-28,,Deer Lake,0.89,lake,Efdee Lake,0.84,lake
REGION 3 - Thompson-Nicola,jackpine lake,JACKPINE LAKE,3,3-28,,Jackson Lake,0.80,lake,Jacko Lake,0.78,lake
REGION 3 - Thompson-Nicola,little dum lake,LITTLE DUM LAKE,3,3-28,,Little Windy Lake,0.81,lake,Little Dixon Lake,0.81,lake
REGION 3 - Thompson-Nicola,little lac des roches,LITTLE LAC DES ROCHES (at west end of Lac Des Roches),3,3-30,,Lac des Roches,0.80,lake,Little Creek,0.61,stream
REGION 3 - Thompson-Nicola,lorenzo lake,LORENZO LAKE,3,3-39,,Long Lake,0.76,lake,Lolo Lake,0.76,lake
REGION 3 - Thompson-Nicola,lower kane lake,LOWER KANE LAKE,3,3-13,,Logan Lake,0.72,lake,Kane Lakes,0.72,lake
REGION 3 - Thompson-Nicola,mcarthur island slough,MCARTHUR ISLAND SLOUGH,3,3-28,,,,,,,
REGION 3 - Thompson-Nicola,rainbow lake,RAINBOW LAKE,3,3-12,,Sanborn Lake,0.75,lake,Caribou Lake,0.75,lake
REGION 3 - Thompson-Nicola,rose lake,ROSE LAKE,3,3-20,,Rouse Lake,0.95,lake,Roscoe Lake,0.90,lake
REGION 3 - Thompson-Nicola,sicamous narrows,SICAMOUS NARROWS,3,3-26,,Sicamous Creek,0.67,stream,,,
REGION 3 - Thompson-Nicola,tulip lake,TULIP LAKE,3,3-20,,Turnip Lake,0.86,lake,Tule Lake,0.84,lake
REGION 3 - Thompson-Nicola,upper kane lake,UPPER KANE LAKE,3,3-13,,Upper Buse Lake,0.80,lake,Upper Loon Lake,0.80,lake
REGION 4 - Kootenay,alces lake,“ALCES” LAKE,4,4-24,,Talc Lake,0.84,lake,Ailsa Lake,0.80,lake
REGION 4 - Kootenay,alta lake,“ALTA” LAKE,4,4-3,,Wapta Lake,0.84,lake,Ailsa Lake,0.84,lake
REGION 4 - Kootenay,arrow lakes,ARROW LAKES,4,"4-15, 4-32",IGNORE: Regulation refers to Upper/Lower Arrow Lake details,Narao Lakes,0.82,lake,Upper Arrow Lake,0.74,lake
REGION 4 - Kootenay,arrow lakes’ tributaries,ARROW LAKES’ TRIBUTARIES,,,IGNORE: Likely covered by Upper/Lower tributaries,,,,,,
REGION 4 - Kootenay,cameron slough,CAMERON SLOUGH,4,4-21,,Cameron Lake,0.69,lake,Taylor Slough,0.67,wetland
REGION 4 - Kootenay,champion lakes no. 1 & 2,CHAMPION LAKES NO. 1 & 2,4,4-8,,Champion Lakes,0.74,lake,Champion Lakes Tributary,0.62,stream
REGION 4 - Kootenay,champion lake no. 3,CHAMPION LAKE NO. 3,4,4-8,,Champion Lakes,0.79,lake,Chain Lake,0.69,lake
REGION 4 - Kootenay,creston valley wildlife management area waters,CRESTON VALLEY WILDLIFE MANAGEMENT AREA (CVWMA) WATERS,4,4-6,,,,,,,
REGION 4 - Kootenay,fisher maiden lake,FISHER MAIDEN LAKE,4,4-26,,Fishermaiden Lake,0.97,lake,Fishermaiden Lake Tributary,0.76,stream
REGION 4 - Kootenay,garbutt lake,GARBUTT LAKE,4,4-22,,Barrett Lake,0.75,lake,Barbour Lake,0.75,lake
REGION 4 - Kootenay,idlewild lake,IDLEWILD LAKE (old Cranbrook Reservoir),4,4-3,,Cleland Lake,0.72,lake,Little Wilson Lake,0.71,lake
REGION 4 - Kootenay,kikomun creek park,KIKOMUN CREEK PARK (all lakes in the park),4,4-22,,Kikomun Creek,0.84,stream,Kikomun Creek Tributary,0.78,stream
REGION 4 - Kootenay,koocanusa reservoir,KOOCANUSA RESERVOIR,4,"4-2, 4-3, 4-22",,,,,,,
REGION 4 - Kootenay,"kootenay lake, all parts","KOOTENAY LAKE, ALL PARTS (Main Body, Upper West Arm and Lower West Arm)",4,4-19,,Kootenay Lake,0.70,lake,Kootenay Lake Tributary,0.68,stream
REGION 4 - Kootenay,kootenay lake - main body,KOOTENAY LAKE - MAIN BODY,4,4-19,,Kootenay Lake,0.68,lake,Kootenay Lake Tributary,0.67,stream
REGION 4 - Kootenay,kootenay lake - upper west arm,KOOTENAY LAKE - UPPER WEST ARM,4,4-7,,Kootenay Lake Tributary,0.68,stream,Kootenay Lake,0.60,lake
REGION 4 - Kootenay,kootenay lake - lower west arm,KOOTENAY LAKE - LOWER WEST ARM,4,4-7,,Kootenay Lake Tributary,0.68,stream,Kootenay Lake,0.60,lake
REGION 4 - Kootenay,lewis slough,LEWIS (“Cameron”) SLOUGH,4,4-21,,Six Mile Slough,0.67,lake,Taylor Slough,0.64,wetland
REGION 4 - Kootenay,little mitten lake,“LITTLE MITTEN” LAKE (approx. 400 m west of Mitten Lake),4,4-34,,Little Chief Lake,0.80,lake,Little Mosquito Lake,0.79,lake
REGION 4 - Kootenay,little slocan lake’s tributaries,LITTLE SLOCAN LAKE’S TRIBUTARIES,4,4-16,,Upper Little Slocan Lake Tributary,0.83,stream,Lower Little Slocan Lake Tributary,0.83,stream
REGION 4 - Kootenay,mcclain lake,“MCCLAIN” LAKE,4,4-34,,Chain Lake,0.82,lake,Cabin Lake,0.82,lake
REGION 4 - Kootenay,mcnaughton lake,MCNAUGHTON LAKE,4,4-36,,Cinnamon Lake,0.71,lake,Pingston Lake,0.71,lake
REGION 4 - Kootenay,moses creek,MOSES CREEK,4,4-39,,Moose Creek,0.91,stream,Moores Creek,0.87,stream
REGION 4 - Kootenay,pend d’oreille river,PEND D’OREILLE RIVER (Includes the reservoirs behind Waneta Dam and Seven Mile Dam),4,4-8,,Pend-d'Oreille River,0.95,stream,Pend-d'Oreille River Tributary,0.75,stream
REGION 4 - Kootenay,pend d’oreille river’s tributaries,PEND D’OREILLE RIVER’S TRIBUTARIES (except Salmo River),4,4-8,,Pend-d'Oreille River Tributary,0.89,stream,Pend-d'Oreille River,0.71,stream
REGION 4 - Kootenay,premier lake’s tributaries,PREMIER LAKE’S TRIBUTARIES,4,4-21,,Parmater Lake Tributary,0.79,stream,Erie Lake Tributary,0.77,stream
REGION 4 - Kootenay,rock island lake,ROCK ISLAND LAKE,4,4-25,,Rock Isle Lake,0.87,lake,Island Lake,0.81,lake
REGION 4 - Kootenay,sam’s folly lake,SAM’S FOLLY LAKE,4,4-34,,Hall Lake,0.67,lake,Mill Lake,0.67,lake
REGION 4 - Kootenay,seven mile reservoir’s tributaries,SEVEN MILE RESERVOIR’S TRIBUTARIES,4,4-8,,Seven Mile Creek Tributary,0.78,stream,Ten Mile Creek Tributary,0.70,stream
REGION 4 - Kootenay,seven mile reservoir,SEVEN MILE RESERVOIR,4,4-8,,Seven Mile Creek,0.78,stream,Seven Mile Creek Tributary,0.74,stream
REGION 4 - Kootenay,slewiskin creek,SLEWISKIN (Macdonald) CREEK,4,4-15,,Lewis Creek,0.85,stream,Ewin Creek,0.80,stream
REGION 4 - Kootenay,spring lake,“SPRING” LAKE,4,4-22,,King Lake,0.80,lake,Sink Lake,0.80,lake
REGION 4 - Kootenay,waneta reservoir,WANETA RESERVOIR,4,4-8,,,,,,,
REGION 4 - Kootenay,waneta reservoir’s tributaries,WANETA RESERVOIR’S TRIBUTARIES,4,4-8,,Garnet Creek Tributary,0.67,stream,Argenta Creek Tributary,0.65,stream
REGION 4 - Kootenay,white river white rivers),WHITE RIVER White Rivers),,,,,,,,,
REGION 4 - Kootenay,whiteswan lake’s inlet & outlet streams,WHITESWAN LAKE’S INLET & OUTLET STREAMS,4,4-24,,,,,,,
REGION 4 - Kootenay,whitetail lake’s inlet & outlet streams,WHITETAIL LAKE’S INLET & OUTLET STREAMS,4,4-26,,Whitetail Lake Tributary,0.61,stream,,,
REGION 4 - Kootenay,wigwam river forest service road),WIGWAM RIVER (downstream of the access road adjacent to km 42 on the Bighorn (Ram) Forest Service Road),4,4-2,,,,,,,
REGION 5 - Cariboo,"atnarko/bella coola rivers except: burnt bridge creek upstream of sitkatapa creek, hunlen creek upstream of hunlen falls, and young entries for these three waters)","ATNARKO/BELLA COOLA RIVERS EXCEPT: Burnt Bridge Creek upstream of Sitkatapa Creek, Hunlen Creek upstream of Hunlen Falls, and Young entries for these three waters)",5,"5-6, 5-8, 5-11",,,,,,,
REGION 5 - Cariboo,baby charlotte lake,BABY CHARLOTTE LAKE,5,5-6,,Charlotte Lake,0.85,lake,Little Charlotte Lake,0.75,lake
REGION 5 - Cariboo,ballon lake,BALLON LAKE,5,5-2,,Baillon Lake,0.96,lake,Bacon Lake,0.86,lake
REGION 5 - Cariboo,beaver creek chain of lakes,BEAVER CREEK chain of lakes,5,5-2,,Beavertail Lake,0.62,lake,Beaver Creek,0.62,stream
REGION 5 - Cariboo,blackwater river,“BLACKWATER” RIVER,5,5-13,,Blackwater Lake,0.77,lake,MacKay River,0.71,stream
REGION 5 - Cariboo,bowron lake park waters other than bowron lake,BOWRON LAKE Park waters other than Bowron Lake,5,5-16,,,,,,,
REGION 5 - Cariboo,chilko lake’s tributary streams,CHILKO LAKE’S tributary streams,5,5-4,,Euchiniko Lakes Tributary,0.76,stream,Shiko Lake Tributary,0.76,stream
REGION 5 - Cariboo,chipmunk lake,CHIPMUNK LAKE,6,6-1,,Chapman Lake,0.80,lake,Chismaina Lake,0.74,lake
REGION 5 - Cariboo,cruise lake,“CRUISE” LAKE,5,5-6,,Cruiser Lake,0.96,lake,Chris Lake,0.86,lake
