Region,Waterbody Key (Raw),Cleaned Name,Name Variations (from corrections),Note,MUs,Similar Names
REGION 1 - Vancouver Island,BEAR RIVER,bear river,,,['1-10'],"clear river, heber river, park river"
REGION 1 - Vancouver Island,HEALY LAKE'S OUTLET STREAM,healy lake's outlet stream,,,['1-5'],healy lake tributary
REGION 1 - Vancouver Island,PETE'S POND Unnamed lake at the head of San Juan River,pete's pond unnamed lake at the head of san juan river,,,['1-3'],
REGION 1 - Vancouver Island,STRATHCONA PARK WATERS,strathcona park waters,,,['1-9'],
REGION 2 - Lower Mainland,LITTLE CAMPBELL RIVER,little campbell river,,,['2-4'],"campbell river, little toba river, little chilliwack river"
REGION 2 - Lower Mainland,LITTLE STAWAMUS CREEK,little stawamus creek,,,['2-8'],"little tamihi creek, little muddy creek, stakawus creek"
REGION 2 - Lower Mainland,LONZO CREEK,lonzo creek,,,['2-4'],"loon creek, don creek, connor creek"
REGION 2 - Lower Mainland,MINNEKHADA MARSH,minnekhada marsh,,,['2-8'],
REGION 2 - Lower Mainland,SOUTH ALOUETTE RIVER,south alouette river,,,['2-8'],"north alouette river, alouette river, southgate river"
REGION 2 - Lower Mainland,SQUAMISH POWERHOUSE CHANNEL,squamish powerhouse channel,,,['2-6'],sapperton channel
REGION 3 - Thompson-Nicola,MCARTHUR ISLAND SLOUGH,mcarthur island slough,,,['3-28'],
REGION 3 - Thompson-Nicola,RAINBOW LAKE,rainbow lake,,,['3-12'],"sanborn lake, caribou lake, canoe lake"
REGION 3 - Thompson-Nicola,SICAMOUS NARROWS,sicamous narrows,,,['3-26'],sicamous creek
REGION 4 - Kootenay,CAMERON SLOUGH,cameron slough,,,['4-21'],"cameron lake, taylor slough, six mile slough"
REGION 4 - Kootenay,CRESTON VALLEY WILDLIFE MANAGEMENT AREA WATERS,creston valley wildlife management area waters,,,['4-6'],
REGION 4 - Kootenay,FISHER MAIDEN LAKE,fisher maiden lake,,,['4-26'],"fishermaiden lake, fishermaiden lake tributary, wiseman lakes"
REGION 4 - Kootenay,KIKOMUN CREEK PARK,kikomun creek park,,,['4-22'],"kikomun creek, kikomun creek tributary, akinkoom creek"
REGION 4 - Kootenay,LEWIS SLOUGH,lewis slough,,,['4-21'],"six mile slough, taylor slough, french slough"
REGION 4 - Kootenay,LITTLE MITTEN LAKE,little mitten lake,,,['4-34'],"little chief lake, little mosquito lake, little gem lake"
REGION 4 - Kootenay,MOSES CREEK,moses creek,,,['4-39'],"moose creek, moores creek, bose creek"
REGION 4 - Kootenay,SLEWISKIN CREEK,slewiskin creek,,,['4-15'],"lewis creek, ewin creek, swiss creek"
REGION 4 - Kootenay,SPRING LAKE,spring lake,,,['4-22'],"silver spring lake, king lake, sink lake"
REGION 4 - Kootenay,WHITESWAN LAKE'S INLET & OUTLET STREAMS,whiteswan lake's inlet & outlet streams,,,['4-24'],whiteswan lake tributary
REGION 5 - Cariboo,"ATNARKO/BELLA COOLA RIVERS EXCEPT: Burnt Bridge Creek upstream of Sitkatapa Creek, Hunlen Creek upstream of Hunlen Falls, and Young Creek upstream of Hwy 20","atnarko/bella coola rivers except: burnt bridge creek upstream of sitkatapa creek, hunlen creek upstream of hunlen falls, and young creek upstream of hwy 20",,,"['5-11', '5-6', '5-8']",
REGION 5 - Cariboo,BEAVER CREEK chain of lakes,beaver creek chain of lakes,,,['5-2'],"beavertail lake, beaver creek"
REGION 5 - Cariboo,BLACKWATER RIVER,blackwater river,,,['5-13'],"blackwater lake, mackay river, kwatna river"
REGION 5 - Cariboo,BOWRON LAKE Park waters other than Bowron Lake,bowron lake park waters other than bowron lake,,,['5-16'],
REGION 5 - Cariboo,CHILKO LAKE'S tributary streams,chilko lake's tributary streams,,,['5-4'],"euchiniko lakes tributary, shiko lake tributary, chisel lake tributary"
REGION 5 - Cariboo,CHIPMUNK LAKE,chipmunk lake,,,['6-1'],"chapman lake, chismaina lake, chipmunk creek"
REGION 5 - Cariboo,FROG LAKE,frog lake,,,['5-6'],"roger lake, roe lake, fox lake"
REGION 5 - Cariboo,MAYDOE LAKE,maydoe lake,,,['5-6'],"madden lake, hyde lake, maze lake"
REGION 5 - Cariboo,PIGEON LAKE #1,pigeon lake #1,,,['5-2'],"widgeon lake, philemon lake, poison lake"
REGION 5 - Cariboo,REDFERN LAKE,redfern lake,,,['5-15'],"green lake, redwater lake, greeny lake"
REGION 5 - Cariboo,RYE LAKE,rye lake,,,['5-2'],"bryne lake, roe lake, yeo lake"
REGION 5 - Cariboo,SARDINE LAKE,sardine lake,,,['5-2'],"spain lake, marie lake, caroline lake"
